Fabricante;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;Fronius;Fronius;Fronius;Fronius;Fronius;Fronius;Fronius;Fronius;SMA;SMA;SMA;SMA;SMA;PHB;Micro-inversor;Micro-inversor;;;;;;;;;
Modelo;780-XS;1500-XS;2900D-NS;3000D-NS;5000D-WS;6000D-WS;7700-MS;8800D-WS;9300-MS;12KN-DT;12K-SDT;15K-MT;20K-MT;36K-MT;50K-MT;73K-HT;85K-MT (20A);PHB6048-ES, INVERSOR HIBRIDO;Primo 3.0-1;Primo 3.5-1;Primo 3.6-1;Primo 4.0-1;Primo 4.6-1;Primo 5.0-1;Primo 6.0-1;Primo 8.2-1;Symo 15.0-3;Sunny Boy 3.0;Sunny Boy 3.6;Sunny Boy 4.0;Sunny Boy 5.0;HMS-1800-4T;YC600;QS1;;;;;;;;;
Tensão máxima de entrada ;500 Vcc;500 Vcc;580 Vcc;500 Vcc;600 Vcc;600 Vcc;600 Vcc;600 Vcc;600 Vcc;800 Vcc;850 Vcc;800 Vcc;800 Vcc;1100 Vcc;800 Vcc;800 Vcc;1100 Vcc;600 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;1000 Vcc;600 Vcc;600 Vcc;600 Vcc;600 Vcc;65 Vcc;60 Vcc;60 Vcc;;;;;;;;;
Tensão mínima de entrada;50 Vcc;50 Vcc;120 Vcc;80 Vcc;50 Vcc;50 Vcc;50 Vcc;50 Vcc;50 Vcc;180 Vcc;160 Vcc;200 Vcc;200 Vcc;200 Vcc;200 Vcc;200 Vcc;200 Vcc;360 Vcc;80 Vcc;80 Vcc;80 Vcc;80 Vcc;80 Vcc;80 Vcc;80 Vcc;80 Vcc;325 Vcc;100 Vcc;100 Vcc;100 Vcc;100 Vcc;22 Vcc;16 Vcc;16 Vcc;;;;;;;;;
Corrente Máxima de entrada;12,5 A;12,5 A;11 A;15 A;16 A;16 A;20 A;20 A;20 A;22 A;22 A;25 A;25 A;25 A;44 A;30 A;44 A;16 A;12 A;12 A;12 A;12 A;12 A;12 A;12 A;12 A;50 A;15 A;15 A;15 A;15 A;13,3 A;12 A;12 A;;;;;;;;;
Tensão de saída ;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;380 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;220 Vca;;;;;;;;;
Frequência de saída;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;60 Hz;;;;;;;;;
Corrente Máxima de Saída;3,5 A;7,2 A;23,8 A;13,5 A;24 A;28,8 A;35 A;40 A;42,5 A;31,9 A;33,3 A;41 A;54,5 A;54,5 A;133 A;191,3 A;133 A;27,3 A;13 A;15,2 A;16 A;17,4 A;20 A;21,7 A;26,1 A;35,7 A;41,6 A;16 A;16 A;22 A;22 A;7,83 A;2,5 A;5,45 A;;;;;;;;;
Potência Nominal;780 W;1500 W;2900 W;3000 W;5000 W;6600 W;7700 W;8800 W;9350 W;12000 W;12000 W;15000 W;20000 W;36000 W;50000 W;73000 W;85000 W;6000 W;3000 W;3500 W;3680 W;4000 W;4600 W;5000 W;6000 W;8200 W;15000 W;3000 W;3680 W;4000 W;5000 W;1800 W;600 W;1250 W;;;;;;;;;
Eficiência Máxima;97,4%;97,4%;96,01%;97,5%;97,4%;97,9%;97,8%;97,6%;97,9%;98,6%;98,2%;98,7%;98,8%;98,8%;98,8%;98,4%;98,8%;97,6%;97,6%;97,7%;97,7%;97,7%;97,8%;97,8%;97,8%;97,8%;97,3%;97,0%;97,0%;97,0%;97,0%;96,5%;96,5%;96,5%;;;;;;;;;
Peso;5,8;5,8;14;8,5;12,8;13,4;19;18;19;26;17,1;40;40;40;70;98,5;70;21,5;21,5;21,5;21,5;21,5;21,5;21,5;21,5;21,5;42;17,5;17,5;17,5;17,5;4,7;4,5;4,5;;;;;;;;;
Ligação;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;TRIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;TRIFÁSICO;TRIFÁSICO;TRIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;BIFÁSICO;MONOFÁSICO;MONOFÁSICO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
