Fornecedor;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;PHB;Aldo;Ecori;Ecori;Ecori;Ecori;PHB;PHB;PHB;PHB;PHB;PHB;PHB
Fabricante;Jinko;Jinko;Jinko;Jinko;Jinko;Jinko;Longi;Longi;Longi;Jinko;Jinko;Jinko;Jinko;Jinko;Longi;Longi;BYD;BYD;TrinaSolar;TrinaSolar;DAHsolar;DMEGC;DMEGC;DMEGC;DMEGC;DMEGC;DMEGC;DMEGC
Modelo;JKM335PP-72-V;JKM340PP-72H-V;JKM390M-72-V;JKM400M-72H-V;JKM405M-72H-V;JKM435M-6TL4;LR4-72HPH-450M;LR5-72HPH-555M;LR4-72HPH-500M;JKM525M-72HL4-TV;JKM530M-72HL4-TV;JKM540M-72HL4-V;JKM565N-72HL4-V;JKM575N-72HL4-V;LR5-72HPH-545M;LR5-72HPH-550M;PHK-36-HalfCell-335 (PHB);PHK-36-HalfCell-335 (Aldo);TSM-DE15M(II);TP6H72 P-350W TALESUN;DHP72-330W;DM585M10T -B72HSW;DM590M10T-B72HSW;JAM66D45-605/LB;DM605M10RT-B72HST/HBT;DM610M10RT-B72HSW;TWMNH-66HD610;TWMNH-66HD615
Tipo;Policristalino;Policristalino;Mono PERC;Monocristalino;Monocristalino;Monocristalino;Mono PERC;Half-cell;Half-cell;Monocristalino-Bifacial;Monocristalino-Bifacial;Monocristalino;Monocristalino;Monocristalino;Monocristalino;Half-cell/Mono PERC;Half Cell;Half Cell;Half Cell Monocristalino;Policristalino;Policristalino;Monocristalino-Bifacial;Monocristalino-Bifacial;Monocristalino-Bifacial;Monocristalino-Bifacial;Monocristalino-Bifacial;Monocristalino-Bifacial;Monocristalino-Bifacial
Potência;335 W;340 W;390 W;400 W;405 W;435 W;450 W;555 W;500 W;525 W;530 W;540 W;565 W;575 W;545 W;550 W;335 W;335 W;400 W;350 W;330 W;585 W;590 W;605 W;605 W;610 W;610 W;615 W
? Módulo;17,26%;17,25%;19,67%;19,88%;20,13%;21,01%;20,70%;21,50%;21,30%;20,36%;20,55%;20,94%;21,87%;22,26%;21,30%;21,50%;17,00%;17,00%;19,90%;17,40%;17,02%;22,60%;22,80%;22,40%;22,40%;22,60%;22,60%;22,80%
"Número
de células ";72;144;72;144;144;120;144;144;132;144;144;144;144;144;144;144;144;144;144;144;72;144;144;132;144;144;144;132
Imáx;8,82 A;8,91 A;9,49 A;9,6 A;9,65 A;12,93 A;10,85 A;13,12 A;13,03 A;12,93 A;13,02 A;13,36 A;13,48 A;13,62 A;13,04 A;13,12 A;8,79 A;8,79 A;9,92 A;9,14 A;8,85 A;10,69 A;13,36 A;15,28 A;13,6 A;13,42 A;14,83 A;14,88 A
Vmáx;38 V;38,2 V;41,1 V;41,7 V;42 V;33,65 V;41,5 V;42,1 V;38,38 V;40,61 V;40,71 V;40,8 V;41,92 V;42,22 V;41,8 V;41,95 V;38,1 V;38,1 V;40,3 V;38,3 V;37,3 V;41,19 V;44,23 V;39,6 V;44,5 V;45,31 V;41,15 V;41,35 V
Isc/Icc;9,43 A;9,54 A;10,12 A;10,36 A;10,48 A;13,61 A;11,6 A;13,98 A;13,9 A;13,64 A;13,71 A;13,94 A;14,23 A;14,39 A;13,92 A;13,98 A;9,25 A;9,25 A;10,45 A;9,64 A;9,29 A;11,38 A;14,11 A;16 A;14,18 A;14,26 A;15,85 A;15,9 A
